NumRun,TimeMs
0,12531.617879867554
1,12453.521966934204
2,12539.93010520935
3,12520.029306411743
4,12505.423069000244
5,12493.931770324707
6,12441.364765167236
7,12523.601770401001
8,12492.506980895996
9,12597.301244735718
